product_author,product_imagelink,product_name,product_price
"E2M Chef Connect,, ,Jennie Casselman,, et al.",https://m.media-amazon.com/images/I/612Ko7Ps0uL._AC_UY218_.jpg,"Eager 2 Cook, Healthy Recipes for Healthy Living: Beef & Poultry","23,.,33,20,.,00"
"David Goggins,, ,Adam Skolnick,, et al.",https://m.media-amazon.com/images/I/815lbywEIKL._AC_UY218_.jpg,Never Finished: Unshackle Your Mind and Win the War Within,"0,.,00,18,.,45,9,.,49"
Dav Pilkey,https://m.media-amazon.com/images/I/71faKgeaYvL._AC_UY218_.jpg,Cat Kid Comic Club: Collaborations: A Graphic Novel (Cat Kid Comic Club #4): From the Creator of Dog Man,"7,.,49,7,.,99"
"Kirk Cameron, and ,Juan Moreno",https://m.media-amazon.com/images/I/61tmFOwCdBL._AC_UY218_.jpg,As You Grow,"20,.,63"
Louise Penny,https://m.media-amazon.com/images/I/810y68slmXL._AC_UY218_.jpg,A World of Curiosities: A Novel (Chief Inspector Gamache Novel Book 18),"14,.,99,20,.,22,0,.,00"
Dan Buettner,https://m.media-amazon.com/images/I/71vfwJTj7CL._AC_UY218_.jpg,The Blue Zones American Kitchen: 100 Recipes to Live to 100,"21,.,01"
Tui T. Sutherland,https://m.media-amazon.com/images/I/618lIfMrw-L._AC_UY218_.jpg,Moon Rising: A Graphic Novel (Wings of Fire Graphic Novel #6) (Wings of Fire Graphix),"9,.,98,7,.,99,22,.,49"
The January 6 Select Committee and The New York Times,"https://m.media-amazon.com/images/I/61+Jhu9EsIL._AC_UY218_.jpg,https://m.media-amazon.com/images/I/111mHoVK0kL._SS200_.png",THE JANUARY 6 REPORT,"14,.,47,11,.,99,0,.,00"
Cormac McCarthy,https://m.media-amazon.com/images/I/71vf7VmFQgL._AC_UY218_.jpg,"The Passenger Box Set: The Passenger, Stella Maris","41,.,99"
David Goggins,https://m.media-amazon.com/images/I/71RkF+0F8YL._AC_UY218_.jpg,Never Finished: Unshackle Your Mind and Win the War Within - Clean Edition,"19,.,79,9,.,99"
"Caroline Peckham, and ,Susanne Valenti",https://m.media-amazon.com/images/I/812gBe9L5yL._AC_UY218_.jpg,Zodiac Academy 8: Sorrow and Starlight,"0,.,00,22,.,35"
Lisa Bryan,https://m.media-amazon.com/images/I/91fTBiPgITL._AC_UY218_.jpg,Downshiftology Healthy Meal Prep: 100+ Make-Ahead Recipes and Quick-Assembly Meals: A Gluten-Free Cookbook,"22,.,75,13,.,99"
Wizards RPG Team,https://m.media-amazon.com/images/I/71oY-2fWclL._AC_UY218_.jpg,Dragonlance: Shadow of the Dragon Queen (Dungeons & Dragons Adventure Book),"44,.,96"
Sarah Janssen,https://m.media-amazon.com/images/I/81-npQvl71L._AC_UY218_.jpg,The World Almanac and Book of Facts 2023,"14,.,99,12,.,99,31,.,89"
Robert W  Malone MD MS,https://m.media-amazon.com/images/I/71Z9HTbWJ0L._AC_UY218_.jpg,Lies My Gov't Told Me: And the Better Future Coming (Children’s Health Defense),"0,.,00,29,.,25"
"Adam Colás,, ,Matthew Braly,, et al.",https://m.media-amazon.com/images/I/61zbRhhhptL._AC_UY218_.jpg,Marcy's Journal - a Guide to Amphibia,"26,.,99,7,.,99,15,.,29"
Kate Andersen Brower,https://m.media-amazon.com/images/I/81RYGn+BBPL._AC_UY218_.jpg,Elizabeth Taylor: The Grit & Glamour of an Icon,"24,.,99,16,.,99,0,.,00"
Rob Delaney,https://m.media-amazon.com/images/I/71BULEluw4L._AC_UY218_.jpg,A Heart That Works,"22,.,50,0,.,00,11,.,99"
"Mo Xiang Tong Xiu,, ,ZeldaCW,, et al.",https://m.media-amazon.com/images/I/91eq27YVWpL._AC_UY218_.jpg,Heaven Official's Blessing: Tian Guan Ci Fu (Novel) Vol. 5,"17,.,99,9,.,99"
